# Wavelength(µm)  R(T=3000K)    R(T=4000K)    R(T=5000K)
0.129293          7.722363e+02  8.313098e+06  2.182582e+09 
0.158586          2.650748e+05  5.135876e+08  4.819058e+10 
0.187879          1.274713e+07  7.588062e+09  3.507212e+11 
0.217172          1.940181e+08  4.878613e+10  1.344527e+12 
0.246465          1.426543e+09  1.859685e+11  3.455694e+12 
0.275758          6.444179e+09  5.007674e+11  6.822259e+12 
0.305051          2.070551e+10  1.059307e+12  1.123084e+13 
0.334343          5.198545e+10  1.884074e+12  1.624396e+13 
0.363636          1.086228e+11  2.948129e+12  2.137199e+13 
0.392929          1.973279e+11  4.187559e+12  2.619614e+13 
0.422222          3.215445e+11  5.520842e+12  3.042302e+13 
0.451515          4.808398e+11  6.866257e+12  3.388876e+13 
0.480808          6.712452e+11  8.153474e+12  3.653675e+13 
0.510101          8.861911e+11  9.329121e+12  3.838722e+13 
0.539394          1.117645e+12  1.035780e+13  3.950850e+13 
0.568687          1.357170e+12  1.122033e+13  3.999414e+13 
0.597980          1.596753e+12  1.191069e+13  3.994665e+13 
0.627273          1.829357e+12  1.243268e+13  3.946685e+13 
0.656566          2.049219e+12  1.279679e+13  3.864774e+13 
0.685859          2.251948e+12  1.301761e+13  3.757141e+13 
0.715152          2.434480e+12  1.311185e+13  3.630804e+13 
0.744444          2.594944e+12  1.309682e+13  3.491611e+13 
0.773737          2.732484e+12  1.298949e+13  3.344333e+13 
0.803030          2.847070e+12  1.280576e+13  3.192786e+13 
0.832323          2.939309e+12  1.256016e+13  3.039969e+13 
0.861616          3.010276e+12  1.226563e+13  2.888195e+13 
0.890909          3.061372e+12  1.193352e+13  2.739204e+13 
0.920202          3.094197e+12  1.157358e+13  2.594279e+13 
0.949495          3.110461e+12  1.119414e+13  2.454326e+13 
0.978788          3.111904e+12  1.080217e+13  2.319958e+13 
1.008081          3.100241e+12  1.040346e+13  2.191555e+13 
1.037374          3.077124e+12  1.000277e+13  2.069318e+13 
1.066667          3.044114e+12  9.603954e+12  1.953307e+13 
1.095960          3.002661e+12  9.210077e+12  1.843481e+13 
1.125253          2.954100e+12  8.823563e+12  1.739720e+13 
1.154545          2.899641e+12  8.446276e+12  1.641848e+13 
1.183838          2.840375e+12  8.079614e+12  1.549651e+13 
1.213131          2.777279e+12  7.724594e+12  1.462889e+13 
1.242424          2.711214e+12  7.381914e+12  1.381306e+13 
1.271717          2.642940e+12  7.052012e+12  1.304640e+13 
1.301010          2.573123e+12  6.735116e+12  1.232627e+13 
1.330303          2.502339e+12  6.431285e+12  1.165002e+13 
1.359596          2.431085e+12  6.140442e+12  1.101512e+13 
1.388889          2.359788e+12  5.862407e+12  1.041907e+13 
1.418182          2.288810e+12  5.596914e+12  9.859487e+12 
1.447475          2.218458e+12  5.343639e+12  9.334103e+12 
1.476768          2.148986e+12  5.102211e+12  8.840751e+12 
1.506061          2.080606e+12  4.872224e+12  8.377385e+12 
1.535354          2.013491e+12  4.653255e+12  7.942074e+12 
1.564646          1.947779e+12  4.444864e+12  7.533002e+12 
1.593939          1.883580e+12  4.246608e+12  7.148464e+12 
1.623232          1.820979e+12  4.058042e+12  6.786860e+12 
1.652525          1.760036e+12  3.878727e+12  6.446696e+12 
1.681818          1.700795e+12  3.708231e+12  6.126574e+12 
1.711111          1.643284e+12  3.546131e+12  5.825189e+12 
1.740404          1.587514e+12  3.392019e+12  5.541323e+12 
1.769697          1.533489e+12  3.245496e+12  5.273839e+12 
1.798990          1.481200e+12  3.106184e+12  5.021680e+12 
1.828283          1.430631e+12  2.973713e+12  4.783860e+12 
1.857576          1.381759e+12  2.847735e+12  4.559459e+12 
1.886869          1.334556e+12  2.727914e+12  4.347622e+12 
